Keyword	Category
beta-lactamase	beta-lactam
beta-lactamases	beta-lactam
multidrug	multidrug
aminoglycoside	aminoglycoside
bacitracin	bacitracin
beta-lactam	beta-lactam
bleomycin	bleomycin
carbomycin	carbomycin
chloramphenicol	chloramphenicol
fosfomycin	fosfomycin
fosmidomycin	fosmidomycin
fusaric-acid	fusaric-acid
fusidic-acid	fusidic-acid
kasugamycin	kasugamycin
macrolide	macrolide-lincosamide-streptogramin
lincosamide	macrolide-lincosamide-streptogramin
streptogramin	macrolide-lincosamide-streptogramin
polymyxin	polymyxin
puromycin	puromycin
quinolone	quinolone
rifamycin	rifamycin
spectinomycin	spectinomycin
sulfonamide	sulfonamide
tetracenomycin_C	tetracenomycin_C
tetracycline	tetracycline
trimethoprim	trimethoprim
vancomycin	vancomycin
florfenicol	florfenicol
antibiotic	multidrug
penicillin	beta-lactam
pbp2_mrdA	beta-lactam
AcrB/AcrD/AcrF	multidrug
aac(2)-I	aminoglycoside
aac(3)-I	aminoglycoside
aac(3)-II	aminoglycoside
aac(3)-IIIa	aminoglycoside
aac(3)-IV	aminoglycoside
aac(3)-IX	aminoglycoside
aac(3)-Ib-aac(6)-Ib	aminoglycoside
aac(3)-VI	aminoglycoside
aac(3)-VII	aminoglycoside
aac(3)-VIII	aminoglycoside
aac(3)-X	aminoglycoside
aac(6)-30-aac(6)-Ib	aminoglycoside
aac(6)-31	aminoglycoside
aac(6)-I	aminoglycoside
aac(6)-II	aminoglycoside
aad(6)	aminoglycoside
aad(9)	aminoglycoside
aadA	aminoglycoside
aadB	aminoglycoside
aadD	aminoglycoside
aadE	aminoglycoside
aadK	aminoglycoside
ant(2)-I	aminoglycoside
ant(3)-Ih-aac(6)-IId	aminoglycoside
ant(4)-IIa	aminoglycoside
ant(4)-Ia	aminoglycoside
ant(9)-I	aminoglycoside
aph(2)-II	aminoglycoside
aph(2)-III	aminoglycoside
aph(2)-IV	aminoglycoside
aph(2)-Ie	aminoglycoside
aph(3)-III	aminoglycoside
aph(3)-I	aminoglycoside
aph(3)-IV	aminoglycoside
aph(3)-I	aminoglycoside
aph(3)-IIb	aminoglycoside
aph(3)-V	aminoglycoside
aph(3)-VII	aminoglycoside
aph(4)-I	aminoglycoside
aph(6)-I	aminoglycoside
bifunctional_aminoglycoside_N-acetyltransferase_and_aminoglycoside_phosphotransferase	aminoglycoside
rmtA	aminoglycoside
rmtB	aminoglycoside
rmtC	aminoglycoside
rmtD	aminoglycoside
rmtF	aminoglycoside
rmtG	aminoglycoside
streptomycin_resistance_protein	aminoglycoside
streptothricin_acetyltransferase	aminoglycoside
tunicamycin_resistance_protein	aminoglycoside
viomycin_phosphotransferase	aminoglycoside
bacA	bacitracin
bcrA	bacitracin
bcrC	bacitracin
ACT-1	beta-lactam
ACT-13	beta-lactam
ACT-14	beta-lactam
ACT-16	beta-lactam
ACT-19	beta-lactam
ACT-2	beta-lactam
ACT-20	beta-lactam
ACT-21	beta-lactam
ACT-23	beta-lactam
ACT-5	beta-lactam
AER-1	beta-lactam
BEL-2	beta-lactam
BEL-3	beta-lactam
CARB-12	beta-lactam
CARB-3	beta-lactam
CARB-5	beta-lactam
CARB-6	beta-lactam
CARB-7	beta-lactam
CARB-8	beta-lactam
CARB-9	beta-lactam
CAZ-2	beta-lactam
CAZ-6	beta-lactam
CAZ-7	beta-lactam
CFE-1	beta-lactam
CGB-1	beta-lactam
CMY-1	beta-lactam
CMY-10	beta-lactam
CMY-100	beta-lactam
CMY-102	beta-lactam
CMY-103	beta-lactam
CMY-11	beta-lactam
CMY-111	beta-lactam
CMY-13	beta-lactam
CMY-16	beta-lactam
CMY-18	beta-lactam
CMY-19	beta-lactam
CMY-2	beta-lactam
CMY-21	beta-lactam
CMY-22	beta-lactam
CMY-23	beta-lactam
CMY-25	beta-lactam
CMY-26	beta-lactam
CMY-29	beta-lactam
CMY-30	beta-lactam
CMY-31	beta-lactam
CMY-32	beta-lactam
CMY-33	beta-lactam
CMY-37	beta-lactam
CMY-39	beta-lactam
CMY-4	beta-lactam
CMY-40	beta-lactam
CMY-41	beta-lactam
CMY-43	beta-lactam
CMY-44	beta-lactam
CMY-51	beta-lactam
CMY-54	beta-lactam
CMY-55	beta-lactam
CMY-56	beta-lactam
CMY-6	beta-lactam
CMY-60	beta-lactam
CMY-61	beta-lactam
CMY-62	beta-lactam
CMY-64	beta-lactam
CMY-65	beta-lactam
CMY-69	beta-lactam
CMY-73	beta-lactam
CMY-74	beta-lactam
CMY-78	beta-lactam
CMY-79	beta-lactam
CMY-80	beta-lactam
CMY-87	beta-lactam
CMY-9	beta-lactam
CMY-98	beta-lactam
CMY-99	beta-lactam
CTX-M	beta-lactam
CTX-M-1	beta-lactam
CTX-M-10	beta-lactam
CTX-M-101	beta-lactam
CTX-M-102	beta-lactam
CTX-M-103	beta-lactam
CTX-M-105	beta-lactam
CTX-M-106	beta-lactam
CTX-M-110	beta-lactam
CTX-M-111	beta-lactam
CTX-M-112	beta-lactam
CTX-M-113	beta-lactam
CTX-M-114	beta-lactam
CTX-M-12	beta-lactam
CTX-M-121	beta-lactam
CTX-M-122	beta-lactam
CTX-M-125	beta-lactam
CTX-M-126	beta-lactam
CTX-M-129	beta-lactam
CTX-M-130	beta-lactam
CTX-M-131	beta-lactam
CTX-M-132	beta-lactam
CTX-M-134	beta-lactam
CTX-M-137	beta-lactam
CTX-M-14	beta-lactam
CTX-M-141	beta-lactam
CTX-M-142	beta-lactam
CTX-M-147	beta-lactam
CTX-M-15	beta-lactam
CTX-M-152	beta-lactam
CTX-M-16	beta-lactam
CTX-M-17	beta-lactam
CTX-M-19	beta-lactam
CTX-M-2	beta-lactam
CTX-M-20	beta-lactam
CTX-M-22	beta-lactam
CTX-M-24	beta-lactam
CTX-M-25	beta-lactam
CTX-M-26	beta-lactam
CTX-M-28	beta-lactam
CTX-M-29	beta-lactam
CTX-M-31	beta-lactam
CTX-M-32	beta-lactam
CTX-M-34	beta-lactam
CTX-M-35	beta-lactam
CTX-M-36	beta-lactam
CTX-M-37	beta-lactam
CTX-M-38	beta-lactam
CTX-M-4	beta-lactam
CTX-M-40	beta-lactam
CTX-M-41	beta-lactam
CTX-M-42	beta-lactam
CTX-M-43	beta-lactam
CTX-M-5	beta-lactam
CTX-M-51	beta-lactam
CTX-M-52	beta-lactam
CTX-M-53	beta-lactam
CTX-M-54	beta-lactam
CTX-M-55	beta-lactam
CTX-M-56	beta-lactam
CTX-M-58	beta-lactam
CTX-M-59	beta-lactam
CTX-M-60	beta-lactam
CTX-M-61	beta-lactam
CTX-M-62	beta-lactam
CTX-M-63	beta-lactam
CTX-M-65	beta-lactam
CTX-M-68	beta-lactam
CTX-M-69	beta-lactam
CTX-M-7	beta-lactam
CTX-M-74	beta-lactam
CTX-M-75	beta-lactam
CTX-M-78	beta-lactam
CTX-M-79	beta-lactam
CTX-M-82	beta-lactam
CTX-M-83	beta-lactam
CTX-M-84	beta-lactam
CTX-M-85	beta-lactam
CTX-M-86	beta-lactam
CTX-M-89	beta-lactam
CTX-M-90	beta-lactam
CTX-M-91	beta-lactam
CTX-M-92	beta-lactam
CTX-M-94	beta-lactam
CTX-M-99	beta-lactam
CfxA2	beta-lactam
CfxA3	beta-lactam
DHA-12	beta-lactam
DHA-5	beta-lactam
DHA-6	beta-lactam
DHA-7	beta-lactam
FEZ-1	beta-lactam
FONA-6	beta-lactam
FOX-1	beta-lactam
FOX-2	beta-lactam
FOX-3	beta-lactam
FOX-4	beta-lactam
FOX-5	beta-lactam
FOX-7	beta-lactam
FOX-8	beta-lactam
FOX-9	beta-lactam
GES-1	beta-lactam
GES-10	beta-lactam
GES-11	beta-lactam
GES-12	beta-lactam
GES-13	beta-lactam
GES-14	beta-lactam
GES-15	beta-lactam
GES-17	beta-lactam
GES-18	beta-lactam
GES-19	beta-lactam
GES-20	beta-lactam
GES-21	beta-lactam
GES-23	beta-lactam
GES-3	beta-lactam
GES-4	beta-lactam
GES-5	beta-lactam
GES-9	beta-lactam
GIM-1	beta-lactam
GOB-1	beta-lactam
IBC-2	beta-lactam
IMI-1	beta-lactam
IMI-2	beta-lactam
IMI-3	beta-lactam
IMI-4	beta-lactam
IMP	beta-lactam
IMP-1	beta-lactam
IMP-10	beta-lactam
IMP-11	beta-lactam
IMP-12	beta-lactam
IMP-13	beta-lactam
IMP-14	beta-lactam
IMP-15	beta-lactam
IMP-16	beta-lactam
IMP-18	beta-lactam
IMP-19	beta-lactam
IMP-2	beta-lactam
IMP-20	beta-lactam
IMP-21	beta-lactam
IMP-22	beta-lactam
IMP-24	beta-lactam
IMP-25	beta-lactam
IMP-27	beta-lactam
IMP-28	beta-lactam
IMP-29	beta-lactam
IMP-31	beta-lactam
IMP-32	beta-lactam
IMP-33	beta-lactam
IMP-35	beta-lactam
IMP-37	beta-lactam
IMP-38	beta-lactam
IMP-4	beta-lactam
IMP-40	beta-lactam
IMP-41	beta-lactam
IMP-42	beta-lactam
IMP-43	beta-lactam
IMP-44	beta-lactam
IMP-5	beta-lactam
IMP-6	beta-lactam
IMP-7	beta-lactam
IMP-8	beta-lactam
IMP-9	beta-lactam
IND-1	beta-lactam
IND-10	beta-lactam
IND-11	beta-lactam
IND-12	beta-lactam
IND-14	beta-lactam
IND-15	beta-lactam
IND-3	beta-lactam
IND-4	beta-lactam
IND-5	beta-lactam
IND-6	beta-lactam
IND-7	beta-lactam
IND-8	beta-lactam
IND-9	beta-lactam
JOHN-1	beta-lactam
KHM-1	beta-lactam
KLUG-1	beta-lactam
KLUY-2	beta-lactam
KLUY-3	beta-lactam
KLUY-4	beta-lactam
KPC-1	beta-lactam
KPC-10	beta-lactam
KPC-11	beta-lactam
KPC-12	beta-lactam
KPC-13	beta-lactam
KPC-15	beta-lactam
KPC-16	beta-lactam
KPC-17	beta-lactam
KPC-2	beta-lactam
KPC-3	beta-lactam
KPC-4	beta-lactam
KPC-5	beta-lactam
KPC-6	beta-lactam
KPC-7	beta-lactam
KPC-8	beta-lactam
LCR-1	beta-lactam
LEN-1	beta-lactam
LEN-15	beta-lactam
LEN-16	beta-lactam
LEN-17	beta-lactam
LEN-18	beta-lactam
LEN-19	beta-lactam
LEN-2	beta-lactam
LEN-20	beta-lactam
LEN-21	beta-lactam
LEN-23	beta-lactam
LEN-24	beta-lactam
LEN-5	beta-lactam
LRA-1	beta-lactam
LRA-12	beta-lactam
LRA-13	beta-lactam
LRA-17	beta-lactam
LRA-19	beta-lactam
LRA-2	beta-lactam
LRA-3	beta-lactam
LRA-5	beta-lactam
LRA-8	beta-lactam
LRA-9	beta-lactam
MIR-1	beta-lactam
MIR-2	beta-lactam
MIR-3	beta-lactam
MIR-6	beta-lactam
MIR-8	beta-lactam
MOX-1	beta-lactam
MOX-2	beta-lactam
MOX-3	beta-lactam
MOX-4	beta-lactam
MOX-5	beta-lactam
MOX-6	beta-lactam
MOX-7	beta-lactam
MUS-1	beta-lactam
NDM-2	beta-lactam
NDM-3	beta-lactam
NDM-4	beta-lactam
NDM-5	beta-lactam
NDM-6	beta-lactam
NDM-7	beta-lactam
NDM-8	beta-lactam
NMC-A	beta-lactam
NPS-1	beta-lactam
OCH-2	beta-lactam
OCH-4	beta-lactam
OCH-5	beta-lactam
OCH-8	beta-lactam
OKP-A	beta-lactam
OKP-B	beta-lactam
OXA-1	beta-lactam
OXA-10	beta-lactam
OXA-101	beta-lactam
OXA-104	beta-lactam
OXA-106	beta-lactam
OXA-107	beta-lactam
OXA-108	beta-lactam
OXA-109	beta-lactam
OXA-11	beta-lactam
OXA-110	beta-lactam
OXA-111	beta-lactam
OXA-112	beta-lactam
OXA-113	beta-lactam
OXA-114	beta-lactam
OXA-115	beta-lactam
OXA-116	beta-lactam
OXA-117	beta-lactam
OXA-118	beta-lactam
OXA-119	beta-lactam
OXA-12	beta-lactam
OXA-120	beta-lactam
OXA-121	beta-lactam
OXA-128	beta-lactam
OXA-129	beta-lactam
